AT&T,txt.att.net
T-Mobile,tmomail.net
Verizon,vtext.com
Sprint,messaging.sprintpcs.comorpm.sprint.com
VirginMobile,vmobl.com
Tracfone,mmst5.tracfone.com
MetroPCS,mymetropcs.com
BoostMobile,myboostmobile.com
Cricket,sms.mycricket.com
Nextel,messaging.nextel.com
Alltel,message.alltel.com
Ptel,ptel.com
Suncom,tms.suncom.com
Qwest,qwestmp.com
U.S.Cellular,email.uscc.net
